frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
71, 0, 2.593, 0.98, 1, 0.02, 0.00, 0.43, 0.05, 0.00, 0.00, 0.00, 0.00, 0.27, 0.68, 0.79, 1.18, 0.25, 0.04, 0.00, 0.63, 0.41, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
72, 0, 2.630, 0.98, 1, 0.00, 0.00, 0.45, 0.03, 0.00, 0.00, 0.00, 0.01, 0.32, 0.68, 0.08, 1.32, 0.40, 0.00, 0.00, 0.95, 0.23, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
73, 0, 2.667, 0.98, 1, 0.00, 0.00, 0.44, 0.03, 0.00, 0.00, 0.00, 0.01, 0.31, 0.56, 0.05, 1.51, 0.43, 0.00, 0.00, 1.20, 0.16, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
74, 0, 2.704, 0.98, 1, 0.00, 0.00, 0.42, 0.04, 0.00, 0.00, 0.00, 0.08, 0.31, 0.35, 0.06, 1.63, 0.39, 0.00, 0.00, 1.44, 0.14, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
75, 0, 2.741, 0.98, 1, 0.00, 0.00, 0.44, 0.03, 0.00, 0.00, 0.00, 0.15, 0.31, 0.11, 0.10, 1.69, 0.35, 0.00, 0.00, 1.71, 0.15, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
76, 0, 2.778, 0.98, 1, 0.00, 0.00, 0.43, 0.03, 0.00, 0.00, 0.00, 0.36, 0.27, 0.13, 0.05, 1.47, 0.42, 0.00, 0.00, 1.88, 0.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
77, 0, 2.815, 0.98, 1, 0.00, 0.00, 0.45, 0.00, 0.00, 0.00, 0.00, 0.53, 0.23, 0.21, 0.04, 1.35, 0.46, 0.00, 0.00, 2.08, 0.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
78, 0, 2.852, 0.98, 1, 0.00, 0.00, 0.43, 0.00, 0.00, 0.00, 0.00, 0.71, 0.18, 0.35, 0.00, 1.23, 0.44, 0.00, 0.00, 2.25, 0.02, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
79, 0, 2.889, 0.98, 1, 0.02, 0.00, 0.43, 0.02, 0.00, 0.00, 0.00, 1.02, 0.12, 0.40, 0.00, 1.28, 0.37, 0.00, 0.00, 2.15, 0.02, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
80, 0, 2.926, 0.88, 1, 0.04, 0.00, 0.45, 0.02, 0.00, 0.00, 0.00, 1.26, 0.07, 0.44, 0.00, 1.30, 0.31, 0.00, 0.00, 1.93, 0.02, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
81, 0, 2.963, 0.88, 1, 0.08, 0.00, 0.48, 0.02, 0.00, 0.00, 0.00, 1.49, 0.02, 0.45, 0.00, 1.26, 0.27, 0.00, 0.00, 1.76, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
82, 0, 3.000, 0.88, 1, 0.06, 0.00, 0.47, 0.04, 0.00, 0.00, 0.00, 1.55, 0.05, 0.63, 0.00, 0.95, 0.21, 0.00, 0.00, 1.64, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
83, 0, 3.037, 0.98, 1, 0.05, 0.00, 0.43, 0.04, 0.00, 0.00, 0.00, 1.64, 0.06, 0.84, 0.00, 0.69, 0.08, 0.00, 0.00, 1.54, 0.01, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
84, 0, 3.074, 0.98, 1, 0.02, 0.00, 0.41, 0.04, 0.00, 0.00, 0.00, 1.73, 0.19, 1.00, 0.00, 0.34, 0.00, 0.00, 0.13, 1.14, 0.02, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
85, 0, 3.111, 0.98, 1, 0.02, 0.00, 0.40, 0.00, 0.00, 0.00, 0.00, 1.77, 0.26, 0.93, 0.00, 0.18, 0.00, 0.00, 0.26, 0.95, 0.02, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
86, 0, 3.148, 0.98, 1, 0.00, 0.00, 0.40, 0.00, 0.00, 0.00, 0.00, 1.79, 0.34, 0.85, 0.00, 0.00, 0.00, 0.00, 0.42, 0.79, 0.01, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
87, 0, 3.185, 0.98, 1, 0.00, 0.00, 0.41, 0.06, 0.00, 0.00, 0.00, 1.73, 0.35, 0.78, 0.00, 0.00, 0.00, 0.00, 0.41, 0.90, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00
88, 0, 3.222, 0.98, 1, 0.00, 0.00, 0.44, 0.11, 0.00, 0.00, 0.00, 1.71, 0.41, 0.74, 0.00, 0.00, 0.00, 0.00, 0.42, 0.94, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00
89, 0, 3.259, 0.98, 1, 0.00, 0.00, 0.49, 0.12, 0.00, 0.00, 0.00, 1.65, 0.43, 0.69, 0.00, 0.00, 0.00, 0.00, 0.43, 0.93, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00
90, 0, 3.296, 0.98, 1, 0.00, 0.00, 0.51, 0.06, 0.00, 0.00, 0.00, 1.78, 0.45, 0.79, 0.00, 0.00, 0.00, 0.00, 0.49, 0.75, 0.02, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00
91, 0, 3.333, 0.98, 1, 0.00, 0.00, 0.52, 0.01, 0.00, 0.00, 0.00, 1.82, 0.42, 0.89, 0.00, 0.00, 0.01, 0.00, 0.54, 0.52, 0.02, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00
92, 0, 3.370, 0.98, 1, 0.04, 0.00, 0.42, 0.00, 0.00, 0.00, 0.08, 2.00, 0.45, 1.04, 0.00, 0.06, 0.08, 0.00, 0.37, 0.31, 0.02, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
93, 0, 3.407, 0.98, 1, 0.07, 0.00, 0.34, 0.00, 0.00, 0.00, 0.15, 2.09, 0.43, 1.06, 0.00, 0.09, 0.11, 0.00, 0.21, 0.35, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
94, 0, 3.444, 0.98, 1, 0.10, 0.00, 0.27, 0.00, 0.00, 0.00, 0.23, 2.25, 0.46, 1.14, 0.00, 0.09, 0.12, 0.00, 0.07, 0.37, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
95, 0, 3.481, 0.98, 1, 0.15, 0.00, 0.28, 0.00, 0.00, 0.00, 0.17, 2.25, 0.42, 1.13, 0.00, 0.03, 0.15, 0.00, 0.12, 0.44, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
96, 0, 3.519, 0.98, 1, 0.20, 0.00, 0.27, 0.01, 0.00, 0.00, 0.12, 2.26, 0.40, 1.20, 0.00, 0.00, 0.22, 0.00, 0.18, 0.48, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
97, 0, 3.556, 0.98, 1, 0.32, 0.01, 0.26, 0.01, 0.00, 0.00, 0.13, 2.11, 0.33, 1.23, 0.00, 0.00, 0.22, 0.00, 0.18, 0.67, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
98, 0, 3.593, 0.98, 1, 0.38, 0.02, 0.28, 0.01, 0.00, 0.00, 0.19, 2.00, 0.31, 1.22, 0.00, 0.00, 0.17, 0.00, 0.17, 0.80, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
99, 0, 3.630, 0.98, 1, 0.47, 0.05, 0.30, 0.00, 0.00, 0.00, 0.23, 1.91, 0.29, 1.23, 0.00, 0.00, 0.13, 0.00, 0.09, 0.98, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00
100, 0, 3.667, 0.98, 1, 0.43, 0.04, 0.34, 0.00, 0.00, 0.00, 0.14, 1.75, 0.26, 1.18, 0.00, 0.00, 0.11, 0.00, 0.17, 1.01, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
101, 0, 3.704, 0.98, 1, 0.38, 0.03, 0.41, 0.00, 0.00, 0.00, 0.06, 1.58, 0.20, 1.13, 0.00, 0.00, 0.05, 0.00, 0.23, 1.14, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
102, 0, 3.741, 0.98, 1, 0.30, 0.00, 0.48, 0.00, 0.00, 0.00, 0.00, 1.41, 0.14, 1.00, 0.00, 0.00, 0.00, 0.00, 0.32, 1.15, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
103, 0, 3.778, 0.98, 1, 0.32, 0.04, 0.50, 0.00, 0.00, 0.00, 0.00, 1.47, 0.12, 1.00, 0.00, 0.00, 0.00, 0.00, 0.20, 1.24, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
104, 0, 3.815, 0.98, 1, 0.35, 0.08, 0.46, 0.00, 0.00, 0.00, 0.00, 1.51, 0.09, 1.06, 0.00, 0.00, 0.00, 0.00, 0.09, 1.32, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
105, 0, 3.852, 0.98, 1, 0.38, 0.08, 0.46, 0.00, 0.00, 0.00, 0.00, 1.55, 0.05, 1.13, 0.00, 0.00, 0.00, 0.00, 0.00, 1.39, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
106, 0, 3.889, 0.98, 1, 0.33, 0.03, 0.42, 0.00, 0.00, 0.00, 0.00, 1.53, 0.07, 1.11, 0.00, 0.03, 0.00, 0.00, 0.00, 1.53, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
107, 0, 3.926, 0.98, 1, 0.28, 0.00, 0.42, 0.00, 0.00, 0.00, 0.00, 1.54, 0.10, 1.07, 0.00, 0.05, 0.00, 0.00, 0.00, 1.49, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
108, 0, 3.963, 0.98, 1, 0.24, 0.00, 0.39, 0.00, 0.00, 0.00, 0.00, 1.53, 0.15, 1.07, 0.00, 0.07, 0.00, 0.00, 0.00, 1.52, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
109, 0, 4.000, 0.98, 1, 0.29, 0.02, 0.39, 0.00, 0.00, 0.00, 0.00, 1.51, 0.15, 1.04, 0.00, 0.16, 0.09, 0.00, 0.00, 1.35, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
110, 0, 4.037, 0.98, 1, 0.30, 0.02, 0.36, 0.00, 0.00, 0.00, 0.00, 1.47, 0.16, 0.96, 0.00, 0.31, 0.15, 0.00, 0.00, 1.31, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
111, 0, 4.074, 0.98, 1, 0.35, 0.05, 0.24, 0.00, 0.00, 0.00, 0.00, 1.35, 0.13, 0.94, 0.00, 0.59, 0.15, 0.00, 0.00, 1.14, 0.05, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
112, 0, 4.111, 0.98, 1, 0.37, 0.05, 0.14, 0.00, 0.00, 0.00, 0.00, 1.26, 0.11, 0.97, 0.00, 0.77, 0.06, 0.00, 0.00, 1.03, 0.10, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
113, 0, 4.148, 0.98, 1, 0.43, 0.06, 0.04, 0.00, 0.00, 0.00, 0.00, 1.16, 0.10, 1.07, 0.00, 0.92, 0.00, 0.00, 0.00, 0.93, 0.15, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
114, 0, 4.185, 0.98, 1, 0.38, 0.03, 0.20, 0.00, 0.00, 0.00, 0.00, 1.14, 0.12, 1.10, 0.00, 0.78, 0.00, 0.00, 0.00, 0.82, 0.11, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
115, 0, 4.222, 0.88, 1, 0.32, 0.01, 0.34, 0.00, 0.00, 0.00, 0.00, 1.10, 0.13, 1.17, 0.00, 0.62, 0.00, 0.00, 0.00, 0.74, 0.06, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
116, 0, 4.259, 0.88, 1, 0.26, 0.00, 0.49, 0.00, 0.00, 0.00, 0.01, 1.08, 0.14, 1.22, 0.00, 0.43, 0.00, 0.00, 0.00, 0.59, 0.01, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
117, 0, 4.296, 0.88, 1, 0.23, 0.00, 0.57, 0.02, 0.00, 0.00, 0.02, 1.19, 0.13, 1.26, 0.00, 0.36, 0.00, 0.00, 0.00, 0.53, 0.01, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
118, 0, 4.333, 0.88, 1, 0.20, 0.00, 0.68, 0.05, 0.00, 0.00, 0.03, 1.30, 0.10, 1.33, 0.00, 0.30, 0.00, 0.00, 0.00, 0.45, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
119, 0, 4.370, 0.88, 1, 0.22, 0.04, 0.74, 0.05, 0.00, 0.00, 0.03, 1.47, 0.14, 1.48, 0.00, 0.18, 0.00, 0.00, 0.00, 0.38, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
120, 0, 4.407, 0.98, 1, 0.28, 0.07, 0.73, 0.03, 0.00, 0.00, 0.01, 1.49, 0.16, 1.61, 0.00, 0.12, 0.00, 0.00, 0.00, 0.29, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
121, 0, 4.444, 0.98, 1, 0.32, 0.10, 0.72, 0.06, 0.00, 0.00, 0.00, 1.55, 0.18, 1.67, 0.00, 0.05, 0.00, 0.00, 0.00, 0.27, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
122, 0, 4.481, 0.98, 1, 0.27, 0.10, 0.77, 0.05, 0.00, 0.00, 0.01, 1.57, 0.17, 1.64, 0.00, 0.05, 0.00, 0.00, 0.00, 0.30, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
123, 0, 4.519, 0.98, 1, 0.23, 0.13, 0.81, 0.06, 0.00, 0.00, 0.01, 1.63, 0.15, 1.61, 0.00, 0.01, 0.00, 0.00, 0.00, 0.33, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
124, 0, 4.556, 0.98, 1, 0.19, 0.15, 0.84, 0.03, 0.00, 0.00, 0.02, 1.64, 0.15, 1.60, 0.00, 0.00, 0.00, 0.00, 0.00, 0.31, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
125, 0, 4.593, 0.98, 1, 0.14, 0.11, 0.79, 0.07, 0.00, 0.00, 0.01, 1.69, 0.12, 1.63, 0.00, 0.02, 0.00, 0.00, 0.00, 0.33, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
126, 0, 4.630, 0.98, 1, 0.09, 0.05, 0.73, 0.13, 0.00, 0.00, 0.01, 1.73, 0.09, 1.71, 0.00, 0.04, 0.00, 0.00, 0.00, 0.38, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
127, 0, 4.667, 0.98, 1, 0.05, 0.00, 0.64, 0.14, 0.00, 0.00, 0.00, 1.76, 0.05, 1.77, 0.00, 0.07, 0.00, 0.00, 0.00, 0.44, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
128, 0, 4.704, 0.98, 1, 0.05, 0.00, 0.62, 0.15, 0.00, 0.00, 0.00, 1.78, 0.05, 1.83, 0.00, 0.06, 0.00, 0.00, 0.00, 0.44, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
129, 0, 4.741, 0.98, 1, 0.08, 0.00, 0.62, 0.16, 0.00, 0.00, 0.00, 1.74, 0.04, 1.77, 0.00, 0.05, 0.00, 0.00, 0.00, 0.44, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
130, 0, 4.778, 0.98, 1, 0.06, 0.00, 0.66, 0.12, 0.00, 0.00, 0.00, 1.70, 0.08, 1.79, 0.00, 0.02, 0.00, 0.00, 0.24, 0.44, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00
131, 0, 4.815, 0.98, 1, 0.06, 0.00, 0.67, 0.08, 0.00, 0.00, 0.00, 1.65, 0.12, 1.77, 0.00, 0.02, 0.00, 0.00, 0.42, 0.46, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
132, 0, 4.852, 0.98, 1, 0.00, 0.00, 0.69, 0.00, 0.00, 0.00, 0.00, 1.61, 0.17, 1.84, 0.00, 0.00, 0.00, 0.00, 0.57, 0.46, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
133, 0, 4.889, 0.98, 1, 0.00, 0.00, 0.71, 0.00, 0.00, 0.00, 0.00, 1.59, 0.19, 1.86, 0.00, 0.00, 0.00, 0.00, 0.53, 0.45, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
134, 0, 4.926, 0.98, 1, 0.01, 0.00, 0.72, 0.03, 0.00, 0.00, 0.00, 1.61, 0.17, 1.81, 0.00, 0.00, 0.00, 0.00, 0.59, 0.41, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
135, 0, 4.963, 0.98, 1, 0.08, 0.00, 0.77, 0.13, 0.00, 0.00, 0.00, 1.68, 0.17, 1.68, 0.00, 0.00, 0.00, 0.00, 0.63, 0.51, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
136, 0, 5.000, 0.98, 1, 0.14, 0.00, 0.81, 0.24, 0.00, 0.00, 0.00, 1.70, 0.17, 1.45, 0.00, 0.00, 0.00, 0.00, 0.60, 0.62, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
137, 0, 5.037, 0.98, 1, 0.19, 0.00, 0.84, 0.28, 0.00, 0.00, 0.00, 1.71, 0.19, 1.31, 0.00, 0.00, 0.00, 0.00, 0.57, 0.72, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
138, 0, 5.074, 0.98, 1, 0.24, 0.04, 0.88, 0.31, 0.00, 0.00, 0.00, 1.72, 0.19, 1.04, 0.00, 0.00, 0.00, 0.00, 0.60, 0.99, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
139, 0, 5.111, 0.98, 1, 0.29, 0.04, 0.90, 0.38, 0.00, 0.00, 0.00, 1.75, 0.19, 0.89, 0.00, 0.00, 0.00, 0.00, 0.60, 1.20, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
140, 0, 5.148, 0.98, 1, 0.37, 0.04, 0.96, 0.47, 0.00, 0.00, 0.00, 1.70, 0.20, 0.73, 0.00, 0.00, 0.00, 0.00, 0.55, 1.52, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
141, 0, 5.185, 0.98, 1, 0.41, 0.05, 0.90, 0.47, 0.00, 0.00, 0.00, 1.62, 0.15, 0.78, 0.00, 0.08, 0.00, 0.00, 0.45, 1.47, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
